internal_id,title,doi,year,ft_matched_ic,abstract,research_question,study_type,research_contribution,pm_technique,stochastic_technique,software_artifact,software_process,dataset_source,dataset_public,tool_used,main_finding,limitations,replication_package,raw
6a2c2e16,Conformance Analysis on Software Development: An Experience with Process Mining,10.1504/ijbpim.2011.040203,2011,IC1,Software organisations are investing more and more time and resources in their development processes. Conformance analysis is considered an important issue concerning process improvement initiatives. Process mining can be a valuable tool to gather data from event logs produced by management tools for software development environments. Process analysts can use the information obtained to quantify the correspondence between the process models and the real execution. This work discusses the issues concerning process mining in the context of software development processes. We also report an exploratory case study that takes activity records from a software maintenance project in a large software operation. The results were useful to an exploratory analysis as well as to examine the issues involved in the knowledge discovery process in this type of environment.,Como a análise de conformidade através de process mining pode ser aplicada em processos de desenvolvimento de software para quantificar a correspondência entre modelos de processos e sua execução real?,case_study,conformance,conformance_checking,none,other,maintenance,industrial,não_mencionado,não_mencionado,Process mining mostrou-se uma ferramenta valiosa para extrair dados de event logs de ferramentas de gerenciamento em ambientes de desenvolvimento de software. A análise de conformidade permitiu quantificar a correspondência entre modelos de processos e execução real em um projeto de manutenção de software em grande operação. Os resultados foram úteis para análise exploratória e examinar questões envolvidas no processo de descoberta de conhecimento neste tipo de ambiente.,Não mencionado no resumo.,não_mencionado,"```json
{
  ""research_question"": ""Como a análise de conformidade através de process mining pode ser aplicada em processos de desenvolvimento de software para quantificar a correspondência entre modelos de processos e sua execução real?"",
  ""study_type"": ""case_study"",
  ""research_contribution"": ""conformance"",
  ""pm_technique"": ""conformance_checking"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""other"",
  ""software_process"": ""maintenance"",
  ""dataset_source"": ""industrial"",
  ""dataset_"
472e7acc,Enterprise Information Management Systems Development: Two Cases of Mining for Process Conformance,10.1016/j.jjimei.2022.100141,2023,IC1,"This article investigates how Process Mining may be used to check process conformance in enterprise information system development. The concept of using Process Mining beyond pure business processes is exemplified on the bug closure processes of two open-source enterprise systems. The process models and conclusions extracted are used for drawing some generic guidelines enterprise information project managers can adopt to assess the quality of their system development processes. Process conformance checking is performed in the Bugzilla databases of two open-source enterprise information systems using Disco. The extracted models are assessed based on the documentation of the projects and are compared to the bug closure process Bugzilla team suggests being used. The findings revealed that the processes followed in the projects are very similar to the ones presented in their documentation, conforming with Bugzilla guidelines. However, several variations are revealed under specific circumstances. Potential benefits from applying Process Mining techniques for information system development management are briefly summarized. This empirical research extends previous work that has been performed in the field of Process Mining and highlights the importance and necessity of Process Mining in enterprise information system development to help standardize and improve the internal processes of an organization and to serve as a proof of compliance by external collaborators developing software for an organization. In addition, it capitalizes on the adoption of inner source development model by many companies developing enterprise software nowadays.",Como o Process Mining pode ser utilizado para verificar a conformidade de processos no desenvolvimento de sistemas de informação empresarial? Quais variações existem entre os processos documentados e os efetivamente seguidos nos projetos de sistemas open-source?,case_study,conformance,conformance_checking,none,issues,bug_fixing,open_source,sim,Disco,"Os processos seguidos nos projetos analisados são muito similares aos documentados e conformam com as diretrizes Bugzilla, porém várias variações são reveladas sob circunstâncias específicas. O Process Mining demonstra potencial significativo para padronizar e melhorar processos internos de organizações, servindo também como prova de conformidade para colaboradores externos no desenvolvimento de software empresarial.","O estudo foi conduzido em apenas dois projetos open-source de sistemas empresariais, o que pode limitar a generalização dos resultados. Não foram mencionadas limitações específicas quanto à análise ou metodologia empregada.",não_mencionado,"```json
{
  ""research_question"": ""Como o Process Mining pode ser utilizado para verificar a conformidade de processos no desenvolvimento de sistemas de informação empresarial? Quais variações existem entre os processos documentados e os efetivamente seguidos nos projetos de sistemas open-source?"",
  ""study_type"": ""case_study"",
  ""research_contribution"": ""conformance"",
  ""pm_technique"": ""conformance_checking"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""issues"",
  ""software_process"""
8ea46c1d,Monitoring the Software Bug-Fixing Process Through the Process Mining Approach,10.1002/smr.2162,2019,IC1,"In the era of information technology, businesses have changed the way they work. Operations, which have become digitalized and managed via software systems, have increased in competitiveness. Software developers have been forced to design and implement their quality standards products by focusing on process‐oriented management. Software quality aims to gain a high‐performance level in the both development and managerial processes to maintain continuous improvements. Continuous improvements require more efficient process monitoring methods. Process mining, which provides recent techniques related to process monitoring, can be utilized with event log files to track the process performance. This research will extract the process mapping and performance statistics of the bug‐fixing process from event logs to develop an efficient process monitoring system. This process will uncover bottlenecks causing inefficiencies and risks. The benefits of process mining techniques will also be discussed to highlight the implications. In this context, this article will present a case study on monitoring the bug‐fixing process of a software product via process mining. It will reveal significant knowledge about subsequent steps and roles.","Como aplicar process mining para monitorar e analisar o processo de correção de bugs em sistemas de software, identificando gargalos e ineficiências?",case_study,discovery,other,none,event_logs,bug_fixing,not_specified,não_mencionado,não_mencionado,"O process mining permite extrair mapeamento de processos e estatísticas de desempenho do fluxo de correção de bugs a partir de logs de eventos. A análise revela gargalos e riscos operacionais, além de conhecimentos significativos sobre etapas subsequentes e papéis envolvidos no processo.",não_mencionado,não_mencionado,"```json
{
  ""research_question"": ""Como aplicar process mining para monitorar e analisar o processo de correção de bugs em sistemas de software, identificando gargalos e ineficiências?"",
  ""study_type"": ""case_study"",
  ""research_contribution"": ""discovery"",
  ""pm_technique"": ""other"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""event_logs"",
  ""software_process"": ""bug_fixing"",
  ""dataset_source"": ""not_specified"",
  ""dataset_public"": ""não_mencionado"",
  ""tool_used"": ""não_mencionado"",
  "
12484962,Using Process Mining to Leverage the Development of a Family of Mobile Applications,10.15514/ispras-2023-35(3)-13,2023,IC1,"Enterprises often provide their services via a family of applications based on various platforms. Applications in such a family can behave differently. Their development processes can differ as well. Moreover, modern development processes are often complex and sometimes vague. This can lead to bugs, defects, and unwanted discrepancies in applications. In this paper, we show that process mining can be applied to leverage the development in such a case. Real-life models can be discovered and investigated by the developer teams in order to reveal differences in application behaviour, find bugs, and highlight inefficiencies. We consider datasets with event data of two types. Firstly, we analyse event logs of Android and iOS applications of the same product family. Secondly, we consider event data from working repositories of these applications. We show how by analysing such datasets, the real-life development process can be discovered. Besides, application event logs can help to find more and less severe bugs and unwanted behaviour.","Como a process mining pode ser aplicada para descobrir e analisar os processos de desenvolvimento reais de uma família de aplicações móveis em diferentes plataformas, identificando diferenças de comportamento, bugs e ineficiências?",case_study,discovery,other,none,vcs,development,industrial,não_mencionado,não_mencionado,"Process mining pode ser efetivamente aplicado a event logs de aplicações Android e iOS e repositórios de trabalho para descobrir modelos reais do processo de desenvolvimento. A análise desses datasets revela diferenças no comportamento das aplicações, identifica bugs de severidade variável e destaca ineficiências no processo de desenvolvimento.",Não mencionado no resumo.,não_mencionado,"```json
{
  ""research_question"": ""Como a process mining pode ser aplicada para descobrir e analisar os processos de desenvolvimento reais de uma família de aplicações móveis em diferentes plataformas, identificando diferenças de comportamento, bugs e ineficiências?"",
  ""study_type"": ""case_study"",
  ""research_contribution"": ""discovery"",
  ""pm_technique"": ""other"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""vcs"",
  ""software_process"": ""development"",
  ""dataset_source"": ""industrial"",
"
beb83053,Modeling and Predicting Software Failure Costs,10.1109/COMPSAC.2009.195,2009,IC2|IC3,"For software, the costs of failures are not clearly understood. Often, these costs disappear in the costs of testing, the general developments costs, or the operating expenses. In a general manufacturing context, the British standard BS-6143-2:1990 classifies quality-related costs into prevention costs, appraisal costs, and failure costs. It furthermore recommends to identify the activities carried out within each of these categories, and to measure the costs connected with the activities. The standard thus presents a framework for recording and structuring costs once they have occurred. In this paper, we propose an approach for structuring the information on internal and external software failure costs such that their development over time can be represented by stochastic models. Based on these models, future failure costs can be predicted. In two case studies we show how the approach was applied in an industrial software development project.","Como estruturar e modelar os custos de falhas de software ao longo do tempo para prever custos futuros? É possível aplicar um framework baseado na norma BS-6143-2:1990 para identificar e medir custos de prevenção, avaliação e falhas em projetos de software?",case_study,framework,none,other,none,testing,industrial,não_mencionado,não_mencionado,O artigo apresenta uma abordagem para estruturar informações sobre custos de falhas internas e externas de software usando modelos estocásticos. Os modelos permitem representar a evolução dos custos ao longo do tempo e realizar predições de custos futuros. A aplicação em dois estudos de caso em projetos industriais demonstra a viabilidade prática da abordagem proposta.,"Os estudos de caso foram realizados em apenas dois projetos industriais, limitando a generalização dos resultados. A especificação das técnicas estocásticas utilizadas não é claramente descrita no resumo.",não_mencionado,"```json
{
  ""research_question"": ""Como estruturar e modelar os custos de falhas de software ao longo do tempo para prever custos futuros? É possível aplicar um framework baseado na norma BS-6143-2:1990 para identificar e medir custos de prevenção, avaliação e falhas em projetos de software?"",
  ""study_type"": ""case_study"",
  ""research_contribution"": ""framework"",
  ""pm_technique"": ""none"",
  ""stochastic_technique"": ""other"",
  ""software_artifact"": ""none"",
  ""software_process"": ""testing"",
  ""dataset_"
d50fcf26,SIMKIT – a software process simulation model construction kit in support of empirical research,,2006,IC2,"Software production has become one of the largest industries in the world economy today, and in terms of key indicators growth rates in recent years it ranks first among all major industries. In conditions of significantly limited availability of software solutions from foreign manufacturers, the supply from domestic software manufacturers is increasing and, as a result, the need for models and methods that allow you to control the software development process, guarantee the cost of development, timing and quality of the result. The uniqueness of the industry does not allow us to count on the success of using traditional project management models in software projects, especially with regard to quantitative assessments of project parameters. The main differences from other types of project management are that the result of a software development project is intangible, the technologies used in the project change rapidly, and the experience of managing a separate software development project is often not applicable to other projects. The fundamental difference between software development projects and other complex projects is related to the features of the key stage – software construction, including coding and debugging, as well as verification, modular and integration testing. Errors made at the software construction stage have the most significant impact on the project result, since they increase the initially planned amount of work. In the known models of the software development process, the amount of work is considered initially specified, and the construction stage is not allocated as a separate circuit determine the stochastic nature of the work amount. The goal of this paper is to build a simulation model of the software construction process, taking into account the dependencies according to which the main parameters of the simulated process change over time. The model provides an opportunity to quantify and optimize project parameters according to a selected criterion (one or more). The model is built within the framework of a system-dynamic approach; the AnyLogic system is used as a simulation environment. The results of simulation experiments are presented to demonstrate the possibility of using the proposed model to study the software construction process or as a mechanism to support managerial decision-making.",Como construir um modelo de simulação do processo de construção de software que capture a natureza estocástica do trabalho e permita quantificar e otimizar parâmetros do projeto? Qual é o impacto dos erros na fase de construção sobre os resultados finais do projeto?,simulation,simulation,none,system_dynamics,none,development,synthetic,não_mencionado,AnyLogic,O modelo de simulação proposto permite quantificar e otimizar parâmetros do processo de construção de software considerando a natureza estocástica do trabalho. Os experimentos de simulação demonstram que o modelo pode ser utilizado para estudar o processo de construção de software e apoiar a tomada de decisão gerencial. O modelo mostra-se capaz de avaliar como os erros na fase de construção impactam significativamente o volume de trabalho inicialmente planejado.,O artigo não especifica validação contra dados reais de projetos ou comparação com outras abordagens de modelagem. Não são mencionadas limitações quanto à complexidade dos projetos que podem ser modelados ou restrições do ambiente de simulação AnyLogic.,não_mencionado,"```json
{
  ""research_question"": ""Como construir um modelo de simulação do processo de construção de software que capture a natureza estocástica do trabalho e permita quantificar e otimizar parâmetros do projeto? Qual é o impacto dos erros na fase de construção sobre os resultados finais do projeto?"",
  ""study_type"": ""simulation"",
  ""research_contribution"": ""simulation"",
  ""pm_technique"": ""none"",
  ""stochastic_technique"": ""system_dynamics"",
  ""software_artifact"": ""none"",
  ""software_process"": ""d"
7f497573,Software Process Simulation Modeling: An Extended Systematic Review,10.1007/978-3-642-14347-2_27,2010,IC2|IC3,"Software Process Simulation Modeling (SPSM) research has increased in the past two decades, especially since the first ProSim Workshop held in 1998. Our research aims to systematically assess how SPSM has evolved during the past 10 years in particular whether the purposes for SPSM, the simulation paradigms, tools, research topics, and the model scopes and outputs have changed. We performed a systematic literature review of the SPSM research in two subsequent stages, and identified 156 relevant studies in four categories. This paper reports the review process of the second stage and the preliminary results by aggregating studies from the two stages. Although the load of SPSM studies was dominated in ProSim/ICSP community, the outside research presented more diversity in some aspects. We also perceived an immediate need for refining and updating the reasons and the classification scheme for SPSM introduced by Kellner, Madachy and Raffo (KMR).","Como a pesquisa em Software Process Simulation Modeling (SPSM) evoluiu nos últimos 10 anos em termos de propósitos, paradigmas de simulação, ferramentas, tópicos de pesquisa e escopos de modelos? Há necessidade de refinamento na classificação de SPSM proposta por Kellner, Madachy e Raffo?",survey,framework,none,other,none,development,academic,não_mencionado,não_mencionado,"Foram identificados 156 estudos relevantes em SPSM através de revisão sistemática em duas etapas. A pesquisa foi dominada pela comunidade ProSim/ICSP, mas estudos externos apresentaram maior diversidade em aspectos específicos. Identificou-se necessidade imediata de refinar e atualizar o esquema de classificação e razões para SPSM introduzidas por KMR.",não_mencionado,não_mencionado,"```json
{
  ""research_question"": ""Como a pesquisa em Software Process Simulation Modeling (SPSM) evoluiu nos últimos 10 anos em termos de propósitos, paradigmas de simulação, ferramentas, tópicos de pesquisa e escopos de modelos? Há necessidade de refinamento na classificação de SPSM proposta por Kellner, Madachy e Raffo?"",
  ""study_type"": ""survey"",
  ""research_contribution"": ""framework"",
  ""pm_technique"": ""none"",
  ""stochastic_technique"": ""other"",
  ""software_artifact"": ""none"",
  ""software_proc"
bafb58a0,Process Mining Opportunities for CMMI Assessments,,2010,IC1|IC4,"Software process improvement has become essential for striving at satisfying the needs of customers and requeriments of markets reagrding the quality of software products. To improve software processes in a systematic and structures way, also called process maturity some models have been developed, e.g. CMMI. CMMI specifies key process areas (KPA5) on different levels of maturity. To grow in maturity, software companies should implement theses KPAs. For assess KPAs in a quantitative way, data should be collected from that process, preferably on the basis of already existing and used software engineering tools. Previous research showed that particular configuration management can collect data from software processes, the called software process mining. The objective of this project is to investigate literature on tool support in particular CMMI KPAs to find out whether there are tools that could be supported by process mining.",Como as técnicas de process mining podem ser aplicadas para coletar dados e avaliar quantitativamente as KPAs (Key Process Areas) do CMMI? Quais ferramentas de engenharia de software existentes poderiam ser potencialmente suportadas por process mining para avaliar a maturidade de processos?,theoretical,discovery,other,none,other,development,not_specified,não_mencionado,não_mencionado,"O estudo investiga a relação entre process mining e CMMI, identificando que ferramentas de gerenciamento de configuração existentes podem coletar dados de processos de software. A pesquisa sugere que process mining pode ser utilizado para avaliar quantitativamente as KPAs do CMMI de forma sistemática e estruturada.",O trabalho é fundamentalmente teórico e não apresenta validação empírica ou estudo de caso prático. Não são especificados datasets concretos ou ferramentas particulares testadas.,não_mencionado,"```json
{
  ""research_question"": ""Como as técnicas de process mining podem ser aplicadas para coletar dados e avaliar quantitativamente as KPAs (Key Process Areas) do CMMI? Quais ferramentas de engenharia de software existentes poderiam ser potencialmente suportadas por process mining para avaliar a maturidade de processos?"",
  ""study_type"": ""theoretical"",
  ""research_contribution"": ""discovery"",
  ""pm_technique"": ""other"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""other"",
  ""softw"
f453a92f,A net practice for software project management,10.1109/52.805479,1999,IC2,"Technical and managerial complexity increasingly overwhelm project managers. To rein in that complexity, the authors propose PM-Net, a model that captures the concurrent, iterative, and evolutionary nature of software development. It adopts the basic concepts of Petri nets, graphical models of information flow, with extensions to represent both decisions and artifacts.","Como modelar a natureza concorrente, iterativa e evolutiva do desenvolvimento de software para ajudar gerentes de projeto a lidar com a complexidade técnica e gerencial?",theoretical,framework,other,none,none,development,not_specified,não_mencionado,PM-Net,"O modelo PM-Net, baseado em redes de Petri com extensões, captura efetivamente a natureza concorrente, iterativa e evolutiva do desenvolvimento de software. O framework integra conceitos básicos de redes de Petri com representações de decisões e artefatos para gerenciamento de projetos.",não_mencionado,não_mencionado,"```json
{
  ""research_question"": ""Como modelar a natureza concorrente, iterativa e evolutiva do desenvolvimento de software para ajudar gerentes de projeto a lidar com a complexidade técnica e gerencial?"",
  ""study_type"": ""theoretical"",
  ""research_contribution"": ""framework"",
  ""pm_technique"": ""other"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""none"",
  ""software_process"": ""development"",
  ""dataset_source"": ""not_specified"",
  ""dataset_public"": ""não_mencionado"",
  ""tool_used"": ""PM-"
563af713,Analyzing the&#xa0;Evolution of&#xa0;Boards in&#xa0;Collaborative Work Management Tools,10.1007/978-3-031-82225-4_24,2025,IC1|IC4,"Abstract Board-Based Collaborative Work Management Tools (BBTs) like Trello and Microsoft Planner are widespread today. Their use includes the management of projects, static information, or processes, which is achieved by assigning and moving cards through lists representing specific states, steps, or other classification criteria. BBTs are a flexible solution since boards, lists and cards can be changed by the user to adapt to new situations, e.g., changes in the processes or projects. However, understanding how a board is being used is challenging because what can be seen at a glance is a static snapshot of its current state. BBTs usually produce logs that capture all the activity that has taken place within the boards. In this paper, we leverage that data to mine BBT logs to understand how boards are used and evolve over time. Specifically, we introduce an approach that aims to detect structural changes in the boards, and visualize the evolution of the boards’ lists. We have analyzed 63 real-life BBT logs and tested the approach with three case studies.",Como os quadros em ferramentas de gerenciamento colaborativo baseadas em quadros evoluem ao longo do tempo e como detectar mudanças estruturais em suas listas?,case_study,discovery,other,none,other,other,industrial,não_mencionado,"Trello, Microsoft Planner","O estudo apresenta uma abordagem para minerar logs de ferramentas de trabalho colaborativo baseadas em quadros, detectando mudanças estruturais nos quadros e visualizando a evolução das listas. A análise de 63 logs reais e três estudos de caso demonstra a viabilidade da técnica para compreender como os quadros são utilizados e evoluem dinamicamente.",O artigo não menciona explicitamente limitações do estudo. A análise é baseada em dados de ferramentas específicas (Trello e Microsoft Planner).,não_mencionado,"```json
{
  ""research_question"": ""Como os quadros em ferramentas de gerenciamento colaborativo baseadas em quadros evoluem ao longo do tempo e como detectar mudanças estruturais em suas listas?"",
  ""study_type"": ""case_study"",
  ""research_contribution"": ""discovery"",
  ""pm_technique"": ""other"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""other"",
  ""software_process"": ""other"",
  ""dataset_source"": ""industrial"",
  ""dataset_public"": ""não_mencionado"",
  ""tool_used"": ""Trello, Microsoft Plan"
14ff01e5,Transition Systems Reduction: Balancing Between Precision and Simplicity,10.1007/978-3-662-55862-1_6,2017,IC1,"Transition systems are a powerful formalism, which is widely used for process model representation. A number of approaches were proposed in the process mining field to tackle the problem of constructing transition systems from event logs. Existing approaches discover transition systems that are either too large or too small. In this paper we propose an original approach to discover transition systems that perfectly fit event logs and whose size is adjustable depending on the user’s need. The proposed approach allows the ability to achieve a required balance between simple and precise models.","Como descobrir transition systems a partir de event logs que equilibrem precisão e simplicidade, evitando modelos muito grandes ou muito pequenos?",theoretical,discovery,other,none,none,other,not_specified,não_mencionado,não_mencionado,"O artigo propõe uma abordagem original para descobrir transition systems que se ajustam perfeitamente aos event logs com tamanho ajustável conforme necessidade do usuário. A técnica permite alcançar um equilíbrio entre modelos simples e precisos, resolvendo o problema de abordagens existentes que geram modelos extremamente grandes ou pequenos.",não_mencionado,não_mencionado,"```json
{
  ""research_question"": ""Como descobrir transition systems a partir de event logs que equilibrem precisão e simplicidade, evitando modelos muito grandes ou muito pequenos?"",
  ""study_type"": ""theoretical"",
  ""research_contribution"": ""discovery"",
  ""pm_technique"": ""other"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""none"",
  ""software_process"": ""other"",
  ""dataset_source"": ""not_specified"",
  ""dataset_public"": ""não_mencionado"",
  ""tool_used"": ""não_mencionado"",
  ""main_finding"
