internal_id,title,doi,year,ft_matched_ic,abstract,research_question,study_type,research_contribution,pm_technique,stochastic_technique,software_artifact,software_process,dataset_source,dataset_public,tool_used,main_finding,limitations,replication_package,raw
43977ab5,Execution-Based Model Profiling,10.1007/978-3-319-74161-1_3,2018,IC1|IC4,"Model-Driven-Engineering (MDE) fokusiert sich auf Modelle, die über den gesamten Software-Entwicklungsprozess auf präskriptive Art eingesetzt werden. Obwohl diese präskriptiven Modelle während der Systemimplementierung von Bedeutung sind, liefern deskriptive, aus Laufzeitdaten abgeleitete Modelle wertvolle Informationen in späteren Phasen des Systemlebenszyklus. Bisher wurden solche deskriptiven Modelle im Gebiet des MDE kaum erforscht. Aktuelle MDE-Ansätze vernachlässigen meist die Möglichkeit ein existierendes und laufendes System anhand des Informationsflusses von Betrieb zu Design zu beschreiben. Um eine Verbindung zwischen präskriptiven und deskriptiven Modellen herzustellen, schlagen wir ein vereinheitlichendes Framework vor, in dem MDE-Ansätze und Techniken aus Process-Mining (PM) lose gekoppelt zum Einsatz kommen. Dieses Framework nutzt ausführungsbasiertes Model-Profiling als kontinuierlichen Prozess zur Verbesserung präskriptiver Modelle zur Design-Zeit durch die Nutzung von Laufzeitinformation. Weiter legen wir eine Evaluierungsfallstudie vor, um die Umsetzbarkeit und die Vorteile des vorgeschlagenen Ansatzes zu demonstrieren. In dieser Fallstudie implementieren wir einen Prototypen unseres Frameworks um Logs eines laufenden Systems aufzuzeichnen. Der implementierte Prototyp transformiert die aufgezeichneten Logs in das XES-Format um eine Verarbeitung und Analyse durch PM-Algorithmen zu ermöglichen. Wir zeigen, dass die resultierenden Modelprofile für eine Laufzeitverifikation ausreichend sind. Darüber hinaus demonstrieren wir die Möglichkeit durch das vereinheitlichende Framework solche Modelprofile für verschiedene Perspektiven einzusetzen, darunter Funktionalität, Performanz und Wechselwirkungen zwischen Komponenten.",Como conectar modelos prescritivos (design-time) com modelos descritivos derivados de dados de execução em tempo de execução? É possível utilizar model profiling baseado em execução para melhorar continuamente modelos prescritivos através de informações de runtime?,case_study,framework,other,none,ide_logs,maintenance,academic,não_mencionado,"XES (formato de logs), Process Mining algorithms","O framework unificado proposto permite conectar abordagens MDE com técnicas de Process Mining para melhorar modelos prescritivos usando informações de runtime. Os perfis de modelo resultantes são suficientes para verificação em tempo de execução e podem ser aplicados em múltiplas perspectivas (funcionalidade, performance e interações entre componentes).",não_mencionado,não_mencionado,"```json
{
  ""research_question"": ""Como conectar modelos prescritivos (design-time) com modelos descritivos derivados de dados de execução em tempo de execução? É possível utilizar model profiling baseado em execução para melhorar continuamente modelos prescritivos através de informações de runtime?"",
  ""study_type"": ""case_study"",
  ""research_contribution"": ""framework"",
  ""pm_technique"": ""other"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""ide_logs"",
  ""software_process"": ""maintenan"
0de90ff4,Handling Concept Drift in Process Mining,10.1007/978-3-642-21640-4_30,2011,IC1,"Predictive services nowadays play an important role across all business sectors. However, deployed machine learning models are challenged by changing data streams over time which is described as concept drift. Prediction quality of models can be largely influenced by this phenomenon. Therefore, concept drift is usually handled by retraining of the model. However, current research lacks a recommendation which data should be selected for the retraining of the machine learning model. Therefore, we systematically analyze different data selection strategies in this work. Subsequently, we instantiate our findings on a use case in process mining which is strongly affected by concept drift. We can show that we can improve accuracy from 0.5400 to 0.7010 with concept drift handling. Furthermore, we depict the effects of the different data selection strategies.",Como selecionar dados apropriados para retreinamento de modelos de machine learning quando há concept drift em streams de dados? Como diferentes estratégias de seleção de dados impactam a qualidade de predição em process mining?,experiment,enhancement,other,none,none,other,not_specified,não_mencionado,não_mencionado,"O tratamento de concept drift através de diferentes estratégias de seleção de dados pode melhorar significativamente a acurácia de predição, aumentando de 0.5400 para 0.7010. O trabalho sistematicamente analisa diferentes estratégias de seleção de dados e demonstra seus efeitos distintos no contexto de process mining.",O artigo não especifica claramente as limitações do estudo ou as restrições das estratégias de seleção de dados propostas.,não_mencionado,"```json
{
  ""research_question"": ""Como selecionar dados apropriados para retreinamento de modelos de machine learning quando há concept drift em streams de dados? Como diferentes estratégias de seleção de dados impactam a qualidade de predição em process mining?"",
  ""study_type"": ""experiment"",
  ""research_contribution"": ""enhancement"",
  ""pm_technique"": ""other"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""none"",
  ""software_process"": ""other"",
  ""dataset_source"": ""not_specified"",
  """
548627c6,A Novel Technique to Assess Agile Systems for Stability,10.1007/978-3-031-33976-9_2,2023,IC2|IC4,"Abstract Agile systems, like the Kanban and Scrum frameworks, are built on assumptions of sustainability and stability, however, there is little empirical evidence on whether such systems are stable in practice or not. Therefore, in this study we aim to inspect the stability of Agile systems by leveraging the concept of stability described in Queueing Theory. We define a novel metric, the Stability Metric, as a way of assessing queueing systems, especially Agile systems. We inspect 926 Jira projects in 14 organizations with over 1.6 million product backlog items using this metric. The analysis showed that 72.89% of these Jira projects were not stable and stable systems, on average, had product backlog sizes 10 times shorter than unstable ones. These results suggest that while the goal of Agile is to create a sustainable, stable way of working, this is not guaranteed, and a better understanding of systems and queues may be required to help design, create, coach, and maintain optimal Agile systems.",Agile systems como Kanban e Scrum são estáveis na prática? É possível avaliar a estabilidade de sistemas Agile utilizando conceitos da Teoria de Filas?,case_study,discovery,none,other,jira,development,industrial,não_mencionado,Jira,"72,89% dos 926 projetos Jira analisados em 14 organizações não eram estáveis. Sistemas estáveis apresentaram backlogs 10 vezes menores que sistemas instáveis. Embora o objetivo do Agile seja criar um modo de trabalho sustentável e estável, isso não é garantido na prática.",não_mencionado,não_mencionado,"```json
{
  ""research_question"": ""Agile systems como Kanban e Scrum são estáveis na prática? É possível avaliar a estabilidade de sistemas Agile utilizando conceitos da Teoria de Filas?"",
  ""study_type"": ""case_study"",
  ""research_contribution"": ""discovery"",
  ""pm_technique"": ""none"",
  ""stochastic_technique"": ""other"",
  ""software_artifact"": ""jira"",
  ""software_process"": ""development"",
  ""dataset_source"": ""industrial"",
  ""dataset_public"": ""não_mencionado"",
  ""tool_used"": ""Jira"",
  ""main_finding"": "
46287754,Using Simulation to Visualise and Analyse Product-Process Dependencies in Software Development Projects,10.1007/978-3-540-45051-1_11,2000,IC2|IC3,"The core element of the PROFES improvement methodology is the concept of product-process dependency (PPD) models. The purpose of PPD models is to help focus process improvement activities to those development technologies and processes that are most effective with regards to achieving specific customer-defined product quality goals. This paper describes how system dynamics simulation models can be used to check the plausibility of achieving positive effects on software product quality when implementing improvement actions derived from PPD models. Basically, this is done through extending an existing generic software project simulation model with structures that represent expected local cause-effect mechanisms of the PPD models. By running simulations with the extended software project simulation model, the potential effects of the PPD models on product quality can be investigated at low cost before conducting pilot applications in real projects.",Como modelos de simulação de dinâmica de sistemas podem ser utilizados para validar a plausibilidade de efeitos positivos na qualidade de produtos de software ao implementar ações de melhoria derivadas de modelos de dependência produto-processo?,simulation,prediction,none,system_dynamics,none,development,synthetic,não_mencionado,não_mencionado,"A simulação de dinâmica de sistemas pode estender modelos genéricos de projetos de software para representar mecanismos de causa-efeito esperados em modelos PPD, permitindo investigar potenciais efeitos na qualidade do produto com baixo custo antes de aplicações piloto em projetos reais.",Não mencionado no resumo.,não_mencionado,"```json
{
  ""research_question"": ""Como modelos de simulação de dinâmica de sistemas podem ser utilizados para validar a plausibilidade de efeitos positivos na qualidade de produtos de software ao implementar ações de melhoria derivadas de modelos de dependência produto-processo?"",
  ""study_type"": ""simulation"",
  ""research_contribution"": ""prediction"",
  ""pm_technique"": ""none"",
  ""stochastic_technique"": ""system_dynamics"",
  ""software_artifact"": ""none"",
  ""software_process"": ""development"",
  ""datas"
2d2d29ea,Investigation and prediction of open source software evolution using automated parameter mining for agent-based simulation,10.1007/s10515-021-00280-3,2021,IC3|IC4,"To guide software development, the estimation of the impact of decision making on the development process can be helpful in planning. For this estimation, often prediction models are used which can be learned from project data. In this paper, an approach for the usage of agent-based simulation for the prediction of software evolution trends is presented. The specialty of the proposed approach lies in the automated parameter estimation for the instantiation of project-specific simulation models. We want to assess how well a baseline model using average (commit) behavior of the agents (i.e., the developers) performs compared to models where different amount of project-specific data is fed into the simulation model. The approach involves the interplay between the mining framework and simulation framework. Parameters to be estimated include, e.g., file change probabilities of developers and the team constellation reflecting different developer roles. The structural evolution of software projects is observed using change coupling graphs based on common file changes. For the validation of simulation results, we compare empirical with simulated results. Our results showed that an average simulation model can mimic general project growth trends like the number of commits and files well and thus, can help project managers in, e.g., controlling the onboarding of developers. Besides, the simulated co-change evolution could be improved significantly using project-specific data.",Como usar simulação baseada em agentes com estimação automatizada de parâmetros pode prever tendências de evolução de software de código aberto? Um modelo de simulação com dados médios de comportamento de desenvolvedores pode ser tão eficaz quanto modelos alimentados com dados específicos do projeto?,simulation,prediction,none,monte_carlo,vcs,development,open_source,não_mencionado,mining framework | simulation framework,"Modelos de simulação com comportamento médio de desenvolvedores conseguem imitar bem tendências gerais de crescimento do projeto como número de commits e arquivos. A evolução de co-mudanças simuladas melhora significativamente quando dados específicos do projeto são incorporados ao modelo, auxiliando gerentes na onboarding de desenvolvedores.",Não mencionado explicitamente no resumo.,não_mencionado,"```json
{
  ""research_question"": ""Como usar simulação baseada em agentes com estimação automatizada de parâmetros pode prever tendências de evolução de software de código aberto? Um modelo de simulação com dados médios de comportamento de desenvolvedores pode ser tão eficaz quanto modelos alimentados com dados específicos do projeto?"",
  ""study_type"": ""simulation"",
  ""research_contribution"": ""prediction"",
  ""pm_technique"": ""none"",
  ""stochastic_technique"": ""monte_carlo"",
  ""software_artifact"": """
e5c400af,Leveraging Data Augmentation and&#xa0;Siamese Learning for&#xa0;Predictive Process Monitoring,10.1007/978-3-032-15538-2_5,2026,IC3|IC4,"Predictive Process Monitoring (PPM) enables forecasting future events or outcomes of ongoing business process instances based on event logs. However, deep learning PPM approaches are often limited by the low variability and small size of real-world event logs. To address this, we introduce SiamSA-PPM, a novel self-supervised learning framework that combines Siamese learning with Statistical Augmentation for Predictive Process Monitoring. It employs three novel statistically grounded transformation methods that leverage control-flow semantics and frequent behavioral patterns to generate realistic, semantically valid new trace variants. These augmented views are used within a Siamese learning setup to learn generalizable representations of process prefixes without the need for labeled supervision. Extensive experiments on real-life event logs demonstrate that SiamSA-PPM achieves competitive or superior performance compared to the SOTA in both next activity and final outcome prediction tasks. Our results further show that statistical augmentation significantly outperforms random transformations and improves variability in the data, highlighting SiamSA-PPM as a promising direction for training data enrichment in process prediction.",Como combinar aprendizado Siamês com aumentação de dados estatística para melhorar a monitoramento preditivo de processos quando há baixa variabilidade e pequeno volume em logs de eventos reais? O framework proposto pode gerar variantes de traços semanticamente válidas e melhorar a previsão de atividades seguintes e resultados finais?,experiment,framework,other,none,none,other,industrial,não_mencionado,não_mencionado,SiamSA-PPM alcança desempenho competitivo ou superior em comparação com o estado da arte em tarefas de previsão de próxima atividade e resultado final. A aumentação estatística baseada em semântica de fluxo de controle e padrões comportamentais frequentes supera significativamente transformações aleatórias e melhora a variabilidade dos dados para treinamento de modelos de aprendizado profundo.,Não mencionado explicitamente no resumo.,não_mencionado,"```json
{
  ""research_question"": ""Como combinar aprendizado Siamês com aumentação de dados estatística para melhorar a monitoramento preditivo de processos quando há baixa variabilidade e pequeno volume em logs de eventos reais? O framework proposto pode gerar variantes de traços semanticamente válidas e melhorar a previsão de atividades seguintes e resultados finais?"",
  ""study_type"": ""experiment"",
  ""research_contribution"": ""framework"",
  ""pm_technique"": ""other"",
  ""stochastic_technique"": ""non"
f4cf22c5,Multivariate Approaches for&#xa0;Process Model Forecasting,10.1007/978-3-031-82225-4_21,2025,IC3,"Abstract Recently, inspired by predictive process monitoring, the modeling and prediction of the entire process information system has been proposed as process model forecasting. By forecasting individual elements of a directly-follows graph, the future state of the system can be predicted. However, the current state-of-the-art principally employs univariate forecasting of direct-follows relationships (DFs). This univariate approach overlooks the process structure and possible relations between different elements within the process. This paper introduces a comprehensive deployment of multivariate time series models, more specifically a range of different machine- and deep learning approaches, to forecast DFs. These are benchmarked on different event logs collected from real-life event processes. Our extensive experiments reveal that the performance of these forecasting models varies significantly across different processes, highlighting the importance of model selection.",Como modelos multivariados de séries temporais podem melhorar a previsão de relacionamentos diretos em grafos de processos em comparação com abordagens univariadas tradicionais? Qual modelo apresenta melhor desempenho em diferentes processos reais?,experiment,prediction,other,none,none,other,industrial,não_mencionado,não_mencionado,"Modelos multivariados de aprendizado de máquina e aprendizado profundo foram aplicados com sucesso para prever relacionamentos diretos em grafos de processos. O desempenho dos modelos de previsão varia significativamente entre diferentes processos, evidenciando a importância crítica da seleção adequada do modelo.",não_mencionado,não_mencionado,"```json
{
  ""research_question"": ""Como modelos multivariados de séries temporais podem melhorar a previsão de relacionamentos diretos em grafos de processos em comparação com abordagens univariadas tradicionais? Qual modelo apresenta melhor desempenho em diferentes processos reais?"",
  ""study_type"": ""experiment"",
  ""research_contribution"": ""prediction"",
  ""pm_technique"": ""other"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""none"",
  ""software_process"": ""other"",
  ""dataset_source"": """
d57e0f87,Comparative evaluation of encoding techniques for workflow process remaining time prediction for cloud applications,10.1186/s13677-025-00763-8,2025,IC1|IC3,"Abstract With the increasing adoption of cloud infrastructure for workflow process deployment, the workflow process remaining time prediction has received more attention due to its significance in improving response time and optimizing resource allocation. Event encoding techniques, by capturing the temporal dynamics and contextual dependencies of process events, improve the accuracy of workflow process remaining time predictions. However, there remains a lack of comprehensive empirical evaluation to analyze the impact of various event encoding techniques on prediction accuracy. To fill this gap, this paper conducts an extensive experimental evaluation of five state-of-the-art event encoding techniques, including One-Hot, Skip-Gram, CBOW (Continuous Bag-of-Word), FastText and GloVe, across nine prediction models based on LSTM (Long Short-Term Memory), GRU (Gated Recurrent Unit), and QRNN (Quasi-Recurrent Neural Network). The evaluation utilizes eight real-world event logs to assess the accuracy of workflow remaining time predictions. The experimental results demonstrate that the GloVe encoding technique consistently yields superior prediction accuracy across the majority of prediction models and event logs.","Como diferentes técnicas de codificação de eventos impactam a precisão da previsão do tempo restante em processos de workflow em aplicações em nuvem? Qual técnica de codificação oferece o melhor desempenho entre os modelos de predição baseados em LSTM, GRU e QRNN?",experiment,prediction,none,none,none,other,industrial,não_mencionado,não_mencionado,"A técnica de codificação GloVe demonstrou consistentemente superior precisão na previsão do tempo restante de workflow em relação às técnicas One-Hot, Skip-Gram, CBOW e FastText. A avaliação de cinco técnicas de codificação em nove modelos de predição diferentes e oito event logs reais fornece uma análise empírica abrangente do impacto das técnicas de encoding na precisão das previsões.",não_mencionado,não_mencionado,"```json
{
  ""research_question"": ""Como diferentes técnicas de codificação de eventos impactam a precisão da previsão do tempo restante em processos de workflow em aplicações em nuvem? Qual técnica de codificação oferece o melhor desempenho entre os modelos de predição baseados em LSTM, GRU e QRNN?"",
  ""study_type"": ""experiment"",
  ""research_contribution"": ""prediction"",
  ""pm_technique"": ""none"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""none"",
  ""software_process"": ""other"",
  ""dat"
5d10f784,Truncated Trace Classifier. Removal of Incomplete Traces from Event Logs,10.1007/978-3-030-49418-6_10,2020,IC1,"We consider truncated traces, which are incomplete sequences of events. This typically happens when dealing with streaming data or when the event log extraction process cuts the end of the trace. The existence of truncated traces in event logs and their negative impacts on process mining outcomes have been widely acknowledged in the literature. Still, there is a lack of research on algorithms to detect them. We propose the Truncated Trace Classifier (TTC), an algorithm that distinguishes truncated traces from the ones that are not truncated. We benchmark 5 TTC implementations that use either LSTM or XGBOOST on 13 real-life event logs. Accurate TTCs have great potential. In fact, filtering truncated traces before applying a process discovery algorithm greatly improves the precision of the discovered process models, by 9.1%. Moreover, we show that TTCs increase the accuracy of a next event prediction algorithm by up to 7.5%.",Como detectar e remover traces truncados (incompletos) de event logs para melhorar a qualidade dos resultados de process mining? Qual é o impacto da filtragem de traces truncados na precisão da descoberta de processos?,experiment,discovery,other,none,none,other,industrial,não_mencionado,"LSTM, XGBOOST",O Truncated Trace Classifier (TTC) proposto consegue distinguir traces truncados de completos com precisão. A filtragem de traces truncados antes da aplicação de algoritmos de descoberta de processos melhora a precisão dos modelos em 9.1% e aumenta a acurácia de algoritmos de predição do próximo evento em até 7.5%.,Não é mencionada análise detalhada das limitações do método. O estudo não discute possíveis impactos negativos da remoção de traces ou casos de falha do classificador.,não_mencionado,"```json
{
  ""research_question"": ""Como detectar e remover traces truncados (incompletos) de event logs para melhorar a qualidade dos resultados de process mining? Qual é o impacto da filtragem de traces truncados na precisão da descoberta de processos?"",
  ""study_type"": ""experiment"",
  ""research_contribution"": ""discovery"",
  ""pm_technique"": ""other"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""none"",
  ""software_process"": ""other"",
  ""dataset_source"": ""industrial"",
  ""dataset_public"""
5cfcbc53,Exploiting Event Log Event Attributes in RNN Based Prediction,10.1007/978-3-030-30278-8_40,2019,IC1|IC3,"In predictive process analytics, current and historical process data in event logs is used to predict the future, e.g., to predict the next activity or how long a process will still require to complete. Recurrent neural networks (RNN) and its subclasses have been demonstrated to be well suited for creating prediction models. Thus far, event attributes have not been fully utilized in these models. The biggest challenge in exploiting them in prediction models is the potentially large amount of event attributes and attribute values. We present a novel clustering technique that allows for trade-offs between prediction accuracy and the time needed for model training and prediction. As an additional finding, we also find that this clustering method combined with having raw event attribute values in some cases provides even better prediction accuracy at the cost of additional time required for training and prediction.",Como explorar completamente os atributos de eventos em modelos baseados em RNN para melhorar a previsão em análise de processos? Qual é o trade-off entre precisão preditiva e tempo de treinamento/predição ao utilizar técnicas de clustering para atributos de eventos?,experiment,enhancement,other,none,none,other,not_specified,não_mencionado,não_mencionado,"Uma técnica inovadora de clustering foi desenvolvida para explorar atributos de eventos em modelos RNN, permitindo trade-offs entre precisão preditiva e tempo computacional. A combinação de clustering com valores brutos de atributos de eventos pode resultar em maior precisão preditiva, ainda que com custo computacional adicional. O trabalho demonstra que atributos de eventos não têm sido totalmente utilizados em modelos RNN para previsão em análise de processos.",Não mencionadas explicitamente no resumo. A principal limitação implícita refere-se ao desafio do grande volume de atributos e valores de atributos em logs de eventos.,não_mencionado,"```json
{
  ""research_question"": ""Como explorar completamente os atributos de eventos em modelos baseados em RNN para melhorar a previsão em análise de processos? Qual é o trade-off entre precisão preditiva e tempo de treinamento/predição ao utilizar técnicas de clustering para atributos de eventos?"",
  ""study_type"": ""experiment"",
  ""research_contribution"": ""enhancement"",
  ""pm_technique"": ""other"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""none"",
  ""software_process"": ""other"",
  "
4541f643,"A Longitudinal Study of Community-Oriented Open Source Software
Development",10.1007/978-3-319-39696-5_31,2016,IC1,"End-users are often argued to be the source of innovation in Open Source
Software (OSS). However, most of the existing empirical studies about
OSS projects have been restricted to developer sub-communities only. In
this paper, we address the question, if and under which conditions the
requirements and ideas from end-users indeed influence the development
processes in OSS. We present an approach for automated requirements
elicitation process discovery in OSS communities. The empirical basis
are three large-scale interdisciplinary OSS projects in bioinformatics,
focusing on communication in the mailing lists and source code histories
over ten years. Our study results in preliminary guidelines for the
organization of community-oriented software development.",Se e sob quais condições os requisitos e ideias de usuários finais influenciam os processos de desenvolvimento em projetos OSS? Como organizar o desenvolvimento de software orientado à comunidade?,case_study,discovery,inductive_miner,none,vcs,requirements,open_source,não_mencionado,não_mencionado,O estudo apresenta um método automatizado para descoberta de processos de elicitação de requisitos em comunidades OSS através de análise de listas de discussão e histórico de código. Os resultados geram diretrizes preliminares para organização de desenvolvimento de software orientado à comunidade em três projetos grandes de bioinformática.,"O estudo foca apenas em comunidades de usuários finais e desenvolvedores de projetos OSS de bioinformática, podendo não generalizar para outros domínios ou tipos de projetos. As diretrizes apresentadas são preliminares e baseadas em análise de dados de dez anos.",não_mencionado,"```json
{
  ""research_question"": ""Se e sob quais condições os requisitos e ideias de usuários finais influenciam os processos de desenvolvimento em projetos OSS? Como organizar o desenvolvimento de software orientado à comunidade?"",
  ""study_type"": ""case_study"",
  ""research_contribution"": ""discovery"",
  ""pm_technique"": ""inductive_miner"",
  ""stochastic_technique"": ""none"",
  ""software_artifact"": ""vcs"",
  ""software_process"": ""requirements"",
  ""dataset_source"": ""open_source"",
  ""dataset_public"": ""nã"
c9512bbb,"Using simulation to facilitate the study of software product line
evolution",10.1109/IWPSE.2004.1334774,2004,IC2|IC3,"A product line approach is a disciplined methodology for strategic reuse
of source code, requirement specifications, software architectures,
design models, components, test cases, and the processes for using the
aforementioned artifacts. Software process simulation modeling is a
valuable tool for enabling decision making for a wide variety of
purposes, ranging from adoption and strategic management to process
improvement and planning. In this paper, discrete event simulation is
used to provide a framework for the simulation of software product line
engineering. We have created an environment that facilitates strategic
management and long-term forecasting with respect to software product
line development and evolution.",Como a simulação de eventos discretos pode ser usada para facilitar o gerenciamento estratégico e previsão de longo prazo na evolução de linhas de produtos de software?,simulation,framework,none,monte_carlo,none,development,synthetic,não_mencionado,não_mencionado,"O trabalho apresenta um ambiente de simulação baseado em eventos discretos que facilita o gerenciamento estratégico e previsão de longo prazo no desenvolvimento e evolução de linhas de produtos de software. A simulação é utilizada como ferramenta valiosa para tomada de decisão em diversos contextos, desde adoção e gerenciamento estratégico até melhoria de processos e planejamento.",não_mencionado,não_mencionado,"```json
{
  ""research_question"": ""Como a simulação de eventos discretos pode ser usada para facilitar o gerenciamento estratégico e previsão de longo prazo na evolução de linhas de produtos de software?"",
  ""study_type"": ""simulation"",
  ""research_contribution"": ""framework"",
  ""pm_technique"": ""none"",
  ""stochastic_technique"": ""monte_carlo"",
  ""software_artifact"": ""none"",
  ""software_process"": ""development"",
  ""dataset_source"": ""synthetic"",
  ""dataset_public"": ""não_mencionado"",
  ""tool_used"": ""não"
