internal_id,title,doi,year,QA1,QA2,QA3,QA4,QA5,QA6,QA7,QA8,qa_total,qa_include,qa_rationale,qa_scored_at,qa_model
6a2c2e16,Conformance Analysis on Software Development: An Experience with Process Mining,10.1504/ijbpim.2011.040203,2011,1,1,1,1,1,0,0,1,6,True,"QA1-Objectives: Clear objectives stated (conformance analysis using process mining in software development). QA2-SE Context: Directly addresses software development context (maintenance project in large software operation). QA3-Data Source: Empirical data from event logs of management tools clearly specified. QA4-Technique: Process mining and conformance analysis techniques explicitly described. QA5-Empirical: Case study with real data from actual software project provides empirical foundation. QA6-Threats: No discussion of validity threats, limitations, or potential biases identified. QA7-Rep",2026-04-29T18:07:51.396874+00:00,claude-haiku-4-5-20251001
472e7acc,Enterprise Information Management Systems Development: Two Cases of Mining for Process Conformance,10.1016/j.jjimei.2022.100141,2023,1,0,1,1,1,0,0,1,5,True,"QA1: Clear objectives stated - using Process Mining for process conformance checking in enterprise systems. QA2: Limited SE context - focuses on bug closure processes but lacks broader software engineering methodology context or industrial practice details. QA3: Explicit data source identified - Bugzilla databases from two open-source systems with documented process models. QA4: Technique clearly described - Process Mining using Disco tool for conformance checking and process discovery. QA5: Empirical study with real data from two case studies, actual bug closure event logs analyzed. QA6: Thre",2026-04-29T18:07:51.415062+00:00,claude-haiku-4-5-20251001
8ea46c1d,Monitoring the Software Bug-Fixing Process Through the Process Mining Approach,10.1002/smr.2162,2019,1,1,1,1,1,0,0,1,6,True,"QA1-Objectives: Clear research goal to monitor bug-fixing process via process mining and identify bottlenecks. QA2-SE context: Appropriate software engineering context (bug-fixing, quality management, process monitoring). QA3-Data source: Uses event logs as primary data source (empirical data). QA4-Technique: Applies process mining techniques (discovery, performance analysis) with defined methodology. QA5-Empirical: Case study provides empirical evidence from real software product. QA6-Threats: No discussion of validity threats, limitations, or potential biases identified in abstract. QA7-Repr",2026-04-29T18:07:56.512028+00:00,claude-haiku-4-5-20251001
12484962,Using Process Mining to Leverage the Development of a Family of Mobile Applications,10.15514/ispras-2023-35(3)-13,2023,1,1,1,1,1,0,1,1,7,True,"QA1 (Objectives): Clear - applying process mining to mobile app family development to discover processes, reveal differences, find bugs. QA2 (SE Context): Yes - real enterprise setting with Android/iOS applications and repositories in software development. QA3 (Data Source): Yes - concrete data sources specified (event logs from Android/iOS apps and Git repositories). QA4 (Technique): Yes - process mining explicitly identified and applied to event logs. QA5 (Empirical): Yes - real-life datasets and case study approach with actual applications. QA6 (Threats): No - abstract mentions no discussio",2026-04-29T18:07:57.190827+00:00,claude-haiku-4-5-20251001
beb83053,Modeling and Predicting Software Failure Costs,10.1109/COMPSAC.2009.195,2009,1,1,1,1,1,0,0,1,6,True,QA1: Clear objectives stated—structuring software failure costs and predicting future costs using stochastic models. QA2: Software engineering context explicitly addressed (failure costs in SW development). QA3: Data source identified as industrial software development project case studies. QA4: Empirical technique described (stochastic modeling approach adapted from BS-6143-2:1990 standard). QA5: Empirical validation through two industrial case studies. QA6: No discussion of threats to validity or limitation analysis evident in abstract. QA7: Reproducibility concerns—insufficient detail on mo,2026-04-29T18:08:02.854096+00:00,claude-haiku-4-5-20251001
d50fcf26,SIMKIT – a software process simulation model construction kit in support of empirical research,,2006,1,0,0,1,1,0,0,1,4,True,"QA1: Clear objectives stated (building simulation model for software construction process with stochastic dependencies). QA2: No clear software engineering context or real-world case study validation mentioned. QA3: Data source not explicitly described; appears to be theoretical model without empirical data collection. QA4: Technique clearly defined (system dynamics approach using AnyLogic simulation environment). QA5: Empirical validation present through simulation experiments, though limited in scope. QA6: Threats to validity not discussed; no mention of validation against real projects or l",2026-04-29T18:08:03.126248+00:00,claude-haiku-4-5-20251001
7f497573,Software Process Simulation Modeling: An Extended Systematic Review,10.1007/978-3-642-14347-2_27,2010,1,1,1,1,1,1,1,1,8,True,"QA1: Clear objectives stated - to assess SPSM evolution, purposes, paradigms, tools, research topics, and model scopes over 10 years. QA2: Well-defined SE context focusing on Software Process Simulation Modeling as a specific software engineering domain. QA3: Explicit data source description - systematic literature review of 156 relevant studies from ProSim/ICSP and other communities. QA4: Documented technique - two-stage systematic literature review process with clear methodology. QA5: Empirical study gathering data from 156 actual SPSM research publications. QA6: Threatens to validity acknow",2026-04-29T18:08:08.911141+00:00,claude-haiku-4-5-20251001
bafb58a0,Process Mining Opportunities for CMMI Assessments,,2010,1,1,0,0,0,0,0,0,2,False,QA1 (objectives): Clear objective stated - investigate process mining for CMMI KPA assessment support. QA2 (SE context): Relevant to software process improvement and maturity assessment in SE. QA3 (data source): No specific data source identified; purely literature-focused investigation. QA4 (technique): No particular process mining technique described or evaluated. QA5 (empirical): No empirical study or experiment conducted; appears to be a literature review proposal only. QA6 (threats): No discussion of limitations or threats to validity. QA7 (reproducibility): Methodology not described suff,2026-04-29T18:08:09.028321+00:00,claude-haiku-4-5-20251001
f453a92f,A net practice for software project management,10.1109/52.805479,1999,1,0,0,1,0,0,0,0,2,False,QA1: Clear objectives stated (propose PM-Net model for software project management complexity). QA2: No clear SE context or industrial application described in abstract. QA3: No empirical data source identified. QA4: Petri nets technique is clearly identified. QA5: No empirical study or validation evidence presented. QA6: No discussion of threats to validity. QA7: Insufficient detail for reproducibility (no specifics on model implementation or extensions). QA8: No metrics for evaluation provided in abstract.,2026-04-29T18:08:12.834373+00:00,claude-haiku-4-5-20251001
563af713,Analyzing the&#xa0;Evolution of&#xa0;Boards in&#xa0;Collaborative Work Management Tools,10.1007/978-3-031-82225-4_24,2025,1,1,1,1,1,0,1,1,7,True,"QA1: Clear objectives stated - detecting structural changes and visualizing board evolution in BBTs. QA2: Relevant SE context - collaborative work management tools are practical software engineering artifacts. QA3: Real data source - 63 real-life BBT logs analyzed. QA4: Well-defined technique - log mining approach with structural change detection and visualization methods. QA5: Empirical study - real-world BBT logs with three case studies demonstrating application. QA6: Limited threat assessment - paper does not explicitly discuss validity threats, limitations, or potential biases in the appro",2026-04-29T18:08:14.650851+00:00,claude-haiku-4-5-20251001
14ff01e5,Transition Systems Reduction: Balancing Between Precision and Simplicity,10.1007/978-3-662-55862-1_6,2017,1,1,1,1,1,0,0,1,6,True,"QA1: Clear objectives stated - discover transition systems balancing precision and simplicity. QA2: Well-defined SE context (process mining, transition systems, event logs). QA3: Explicit data source identified (event logs). QA4: Technique clearly described (transition system discovery with adjustable size). QA5: Empirical approach indicated by proposal of algorithm applied to event logs. QA6: No discussion of threats to validity or limitations. QA7: Limited reproducibility details - no mention of tool availability, dataset accessibility, or implementation specifics. QA8: Clear metrics mention",2026-04-29T18:08:19.338322+00:00,claude-haiku-4-5-20251001
43977ab5,Execution-Based Model Profiling,10.1007/978-3-319-74161-1_3,2018,1,1,1,1,1,0,1,1,7,True,"QA1: Clear objectives stated - connecting prescriptive and descriptive models through execution-based profiling. QA2: SE context well-defined - MDE, process mining, and software lifecycle addressed. QA3: Data source identified - runtime logs from executing systems transformed to XES format. QA4: Technique clearly described - framework combining MDE and process mining with prototype implementation. QA5: Empirical evaluation provided through case study demonstrating feasibility and benefits. QA6: Threats to validity not explicitly discussed (no mention of limitations or validity threats). QA7: R",2026-04-29T18:08:20.091243+00:00,claude-haiku-4-5-20251001
0de90ff4,Handling Concept Drift in Process Mining,10.1007/978-3-642-21640-4_30,2011,1,1,1,1,1,0,0,1,6,True,QA1(1): Clear objectives - analyzing data selection strategies for model retraining under concept drift. QA2(1): SE context established - process mining with ML model maintenance is a software engineering concern. QA3(1): Data source identified - use case in process mining with data streams over time. QA4(1): Technique specified - model retraining with different data selection strategies. QA5(1): Empirical evaluation present - accuracy metrics reported (0.5400 to 0.7010 improvement). QA6(0): Threats to validity not explicitly discussed or mitigated in abstract. QA7(0): Reproducibility concerns,2026-04-29T18:08:24.570861+00:00,claude-haiku-4-5-20251001
548627c6,A Novel Technique to Assess Agile Systems for Stability,10.1007/978-3-031-33976-9_2,2023,1,1,1,1,1,1,1,1,8,True,"QA1-Objectives: Clearly stated aim to assess stability of Agile systems using Queueing Theory. QA2-SE Context: Explicit focus on Agile frameworks (Kanban/Scrum) in real organizational settings. QA3-Data Source: Large-scale empirical data from 926 Jira projects across 14 organizations with 1.6M backlog items. QA4-Technique: Novel metric (Stability Metric) based on well-established Queueing Theory concepts, clearly defined and applied systematically. QA5-Empirical: Substantial empirical investigation with quantitative results (72.89% instability rate, 10x backlog size difference). QA6-Threats: A",2026-04-29T18:08:25.640314+00:00,claude-haiku-4-5-20251001
46287754,Using Simulation to Visualise and Analyse Product-Process Dependencies in Software Development Projects,10.1007/978-3-540-45051-1_11,2000,1,1,1,1,1,0,1,1,7,True,"QA1: Clearly stated objectives (use simulation to check PPD models plausibility). QA2: Software engineering context explicitly addressed (PROFES methodology, process improvement). QA3: Data source present (generic software project simulation model extended with PPD structures). QA4: Technique well-defined (system dynamics simulation for analyzing product-process dependencies). QA5: Empirical approach used (simulation-based investigation before pilot applications). QA6: Limited discussion of threats to validity or study limitations in abstract. QA7: Reproducible methodology described (extending",2026-04-29T18:08:29.647840+00:00,claude-haiku-4-5-20251001
2d2d29ea,Investigation and prediction of open source software evolution using automated parameter mining for agent-based simulation,10.1007/s10515-021-00280-3,2021,1,1,1,1,1,0,1,1,7,True,"QA1-Objectives: Clear objectives on predicting software evolution trends using agent-based simulation with automated parameter mining. QA2-SE context: Strong SE context with mining frameworks applied to open source projects and developer behavior modeling. QA3-Data source: Explicit use of project repositories (commits, file changes, co-change graphs) as empirical data sources. QA4-Technique: Well-defined approach combining repository mining with agent-based stochastic simulation and systematic parameter estimation. QA5-Empirical: Empirical validation comparing simulated results against actual ",2026-04-29T18:08:31.638304+00:00,claude-haiku-4-5-20251001
e5c400af,Leveraging Data Augmentation and&#xa0;Siamese Learning for&#xa0;Predictive Process Monitoring,10.1007/978-3-032-15538-2_5,2026,1,1,1,1,1,1,1,1,8,True,"QA1-Objectives: Clearly stated goal to improve PPM through Siamese learning and statistical augmentation. QA2-SE Context: Addresses real-world event logs and business process prediction, relevant to software process analysis. QA3-Data Source: Uses real-life event logs (empirical data collection explicitly mentioned). QA4-Technique: Novel technical approach clearly described (SiamSA-PPM with three transformation methods). QA5-Empirical: Extensive experiments conducted with quantitative performance comparisons against SOTA. QA6-Threats: Acknowledges data variability limitations and evaluates aga",2026-04-29T18:08:36.262592+00:00,claude-haiku-4-5-20251001
f4cf22c5,Multivariate Approaches for&#xa0;Process Model Forecasting,10.1007/978-3-031-82225-4_21,2025,1,0,1,1,1,0,1,1,6,True,QA1: Clear objectives stated—proposing multivariate forecasting approaches for process models. QA2: SE context not explicitly addressed; applies process mining but lacks clear software engineering domain focus. QA3: Data sources well-defined (real-life event logs from actual processes). QA4: Techniques clearly described (machine/deep learning multivariate time series models). QA5: Empirical study with experiments on real event logs and benchmarking. QA6: Threats to validity not discussed; model selection variability noted but not formally analyzed. QA7: Good reproducibility potential with real,2026-04-29T18:08:36.843377+00:00,claude-haiku-4-5-20251001
d57e0f87,Comparative evaluation of encoding techniques for workflow process remaining time prediction for cloud applications,10.1186/s13677-025-00763-8,2025,1,1,1,1,1,0,1,1,7,True,"QA1-Objectives: Clear objectives stated (comparative evaluation of encoding techniques for remaining time prediction). QA2-SE Context: Relevant SE context (workflow process deployment in cloud applications, resource allocation, response time optimization). QA3-Data Source: Real-world data used (eight real-world event logs explicitly mentioned). QA4-Technique: Well-defined empirical technique (comparative experimental evaluation of five encoding techniques across three neural network architectures). QA5-Empirical: Strong empirical study with extensive experiments (9 prediction models, 8 event l",2026-04-29T18:08:42.403271+00:00,claude-haiku-4-5-20251001
5d10f784,Truncated Trace Classifier. Removal of Incomplete Traces from Event Logs,10.1007/978-3-030-49418-6_10,2020,1,0,1,1,1,0,1,1,6,True,"QA1=1: Clear objectives stated (detect truncated traces, improve process discovery precision). QA2=0: Not in software engineering context; focuses on process mining and event log analysis (business process domain, not SE). QA3=1: Real-life event logs used as data source (13 datasets). QA4=1: Specific technique proposed (TTC with LSTM/XGBOOST implementations). QA5=1: Empirical evaluation conducted with benchmarking on real data. QA6=0: Limited discussion of threats to validity or limitations. QA7=1: Reproducibility reasonable (specific algorithms, datasets mentioned; 13 real-life logs), though ",2026-04-29T18:08:43.195810+00:00,claude-haiku-4-5-20251001
5cfcbc53,Exploiting Event Log Event Attributes in RNN Based Prediction,10.1007/978-3-030-30278-8_40,2019,1,1,1,1,1,0,0,1,6,True,"QA1: Clear objectives stated (exploit event attributes in RNN-based prediction models). QA2: Software engineering context evident (predictive process analytics, event logs). QA3: Data source specified (event logs from processes). QA4: Technique clearly described (clustering technique for event attributes with RNNs). QA5: Empirical study implied through prediction accuracy comparisons and trade-off analysis. QA6: Threats to validity not discussed in abstract (0). QA7: Reproducibility concerns - no mention of code availability, datasets, or detailed hyperparameters (0). QA8: Metrics defined (pre",2026-04-29T18:08:48.245655+00:00,claude-haiku-4-5-20251001
4541f643,"A Longitudinal Study of Community-Oriented Open Source Software
Development",10.1007/978-3-319-39696-5_31,2016,1,1,1,1,1,0,1,1,7,True,"QA1(Objectives): Clear research question about end-user influence on OSS development processes. QA2(SE Context): Legitimate SE context studying OSS development practices and requirements elicitation. QA3(Data Source): Multiple large-scale primary data sources (mailing lists, source code histories from 3 bioinformatics projects over 10 years). QA4(Technique): Explicit methodology using automated requirements elicitation and process discovery techniques. QA5(Empirical): Longitudinal empirical study with 10-year observation period across real OSS projects. QA6(Threats): Limited discussion of vali",2026-04-29T18:08:49.368868+00:00,claude-haiku-4-5-20251001
c9512bbb,"Using simulation to facilitate the study of software product line
evolution",10.1109/IWPSE.2004.1334774,2004,1,1,0,1,1,0,0,1,5,True,"QA1: Clear objectives stated (simulation framework for SPL evolution, strategic management, forecasting). QA2: Software engineering context explicitly addressed (product line engineering processes). QA3: No empirical data sources or validation mentioned; appears to be a framework proposal. QA4: Simulation technique clearly described (discrete event simulation). QA5: Simulation-based empirical approach applied to SPL processes. QA6: No discussion of threats to validity or limitations acknowledged. QA7: Limited reproducibility information; simulation environment described but insufficient implem",2026-04-29T18:08:53.086825+00:00,claude-haiku-4-5-20251001
